,start,mid,end,grade,user_grade,is_benchmark,repeats,url
345833,"[[1, 2]]","[[4, 5], [5, 6], [10, 8], [7, 11], [5, 13], [3, 16]]","[[0, 17]]",4,,False,1,https://moonboard.com/Problems/View/345833/9-big-ones
345823,"[[3, 2]]","[[5, 5], [3, 9], [6, 14], [1, 14]]","[[2, 17]]",6,,False,6,https://moonboard.com/Problems/View/345823/totem-tall
345817,"[[5, 4]]","[[6, 1], [10, 4], [9, 8], [6, 12]]","[[3, 17]]",2,,False,4,https://moonboard.com/Problems/View/345817/cling-boi
345814,"[[5, 4]]","[[6, 7], [4, 7], [4, 15], [6, 12], [6, 13], [7, 9]]","[[3, 17]]",0,,False,16,https://moonboard.com/Problems/View/345814/go-tom
345812,"[[2, 4], [1, 5]]","[[3, 8], [3, 9], [6, 12], [2, 14], [3, 14]]","[[2, 17]]",1,,False,21,https://moonboard.com/Problems/View/345812/myocarditis
345807,"[[9, 4], [4, 5]]","[[7, 7], [5, 10], [8, 13], [8, 15]]","[[10, 17]]",1,,False,2,https://moonboard.com/Problems/View/345807/lola
345804,"[[3, 2]]","[[1, 7], [5, 9], [4, 9], [3, 16], [10, 9], [8, 13], [4, 15]]","[[0, 17]]",3,,False,1,https://moonboard.com/Problems/View/345804/sandwich-artist
345787,"[[5, 4]]","[[2, 9], [4, 14], [4, 12], [10, 10]]","[[10, 17]]",2,,False,6,https://moonboard.com/Problems/View/345787/sushi-var
345780,"[[3, 2], [1, 3]]","[[3, 9], [0, 12], [5, 8], [3, 15], [3, 16]]","[[7, 17]]",2,,False,1,https://moonboard.com/Problems/View/345780/fx1
345775,"[[3, 2], [4, 5]]","[[6, 8], [1, 10], [9, 4], [4, 13], [2, 14]]","[[4, 17]]",1,,False,3,https://moonboard.com/Problems/View/345775/osiris
345771,"[[5, 4]]","[[4, 7], [0, 8], [3, 11], [4, 12], [8, 13], [6, 16]]","[[8, 17]]",0,,False,34,https://moonboard.com/Problems/View/345771/p%C3%A1-los-viernes
345768,"[[8, 4]]","[[6, 1], [9, 7], [7, 10], [4, 12], [8, 14]]","[[8, 17]]",0,,False,1,https://moonboard.com/Problems/View/345768/five-dollar-shoes
345767,"[[8, 4]]","[[9, 7], [6, 1], [7, 10], [4, 11], [4, 13], [1, 14]]","[[3, 17]]",0,,False,2,https://moonboard.com/Problems/View/345767/stepping-on-my-face
345756,"[[5, 4], [10, 4]]","[[6, 8], [7, 9], [8, 13], [6, 13]]","[[6, 17]]",0,,False,31,https://moonboard.com/Problems/View/345756/easy-e-6a
345748,"[[6, 3], [5, 4]]","[[6, 7], [6, 9], [4, 7], [4, 10], [6, 1], [5, 12], [3, 13], [4, 15], [5, 15]]","[[3, 17]]",0,,False,3,https://moonboard.com/Problems/View/345748/kinnon-s-babe
345746,"[[7, 4], [8, 4]]","[[7, 12], [4, 14], [4, 9], [7, 7]]","[[3, 17]]",2,,False,12,https://moonboard.com/Problems/View/345746/one-eyed-clown
345745,"[[8, 4], [5, 4]]","[[9, 7], [7, 11], [10, 13], [6, 14], [6, 16]]","[[3, 17]]",1,,False,4,https://moonboard.com/Problems/View/345745/whooooo
345742,"[[5, 4]]","[[9, 7], [7, 11], [9, 11], [7, 15]]","[[10, 17]]",1,,False,1,https://moonboard.com/Problems/View/345742/mission-gympossible
345740,"[[5, 4], [1, 5]]","[[5, 10], [0, 13]]","[[3, 17]]",3,,False,4,https://moonboard.com/Problems/View/345740/mission-jimpossible
345737,"[[5, 4]]","[[10, 10], [7, 13], [9, 6], [9, 7], [9, 15]]","[[6, 17]]",1,,False,1,https://moonboard.com/Problems/View/345737/rip-chris-canela
345736,"[[10, 4]]","[[4, 12], [6, 7], [7, 15], [8, 9]]","[[4, 17]]",1,,False,7,https://moonboard.com/Problems/View/345736/reggae-boyz
345735,"[[2, 4], [3, 5]]","[[3, 8], [7, 10], [5, 14]]","[[6, 17]]",2,,False,3,https://moonboard.com/Problems/View/345735/unexpected-expectations
345734,"[[8, 4]]","[[8, 9], [8, 11], [8, 15]]","[[4, 17]]",2,,False,2,https://moonboard.com/Problems/View/345734/kingpin-karaoke
345731,"[[10, 4], [9, 4]]","[[9, 8], [7, 10], [6, 12], [8, 15], [9, 7]]","[[6, 17]]",0,,False,14,https://moonboard.com/Problems/View/345731/other-jdawg
345730,"[[5, 4]]","[[3, 10], [0, 4], [4, 9], [1, 15], [5, 14]]","[[2, 17]]",2,,False,4,https://moonboard.com/Problems/View/345730/the-one-who-knocks
345729,"[[8, 4], [5, 4]]","[[3, 11], [4, 12], [8, 13], [4, 15], [7, 9], [2, 9]]","[[4, 17]]",0,,False,11,https://moonboard.com/Problems/View/345729/jdawg
345724,"[[5, 4]]","[[2, 9], [6, 8], [8, 13], [10, 9]]","[[4, 17]]",3,,False,2,https://moonboard.com/Problems/View/345724/ape-vegetarian
345721,"[[5, 5], [1, 3]]","[[3, 7], [0, 8], [5, 10], [5, 12], [8, 14]]","[[7, 17]]",3,,False,2,https://moonboard.com/Problems/View/345721/how-do-you-spell-muffler
345720,"[[5, 4]]","[[9, 6], [8, 9], [7, 12], [2, 12], [1, 8], [2, 13]]","[[0, 17]]",2,,False,1,https://moonboard.com/Problems/View/345720/super-sharp-shooter-2019
345719,"[[6, 5], [9, 1]]","[[8, 7], [5, 10], [2, 13], [1, 8]]","[[6, 17]]",5,,False,1,https://moonboard.com/Problems/View/345719/meat-grinder
345718,"[[6, 5], [8, 5]]","[[9, 7], [10, 8], [8, 10], [8, 9], [6, 11], [6, 12], [4, 12], [5, 13], [4, 14], [8, 15], [6, 16]]","[[6, 17]]",0,,False,2,https://moonboard.com/Problems/View/345718/wesley
345717,"[[8, 3]]","[[5, 6], [5, 9], [5, 14], [2, 11], [2, 14]]","[[6, 17]]",1,,False,3,https://moonboard.com/Problems/View/345717/why-are-you-so-strong
345713,"[[1, 5], [3, 4]]","[[4, 7], [8, 9], [5, 12], [8, 13]]","[[4, 17]]",1,,False,1,https://moonboard.com/Problems/View/345713/el-regreso-del-ni%C3%B1o-rata
345710,"[[5, 4]]","[[3, 7], [2, 9], [6, 12], [7, 15]]","[[3, 17]]",1,,False,4,https://moonboard.com/Problems/View/345710/esputo-keko-s
345703,"[[8, 3], [5, 4]]","[[7, 9], [2, 12], [4, 13]]","[[4, 17]]",1,,False,3,https://moonboard.com/Problems/View/345703/saltmunanazi-1
345690,"[[1, 5], [3, 2]]","[[2, 10], [5, 15], [6, 9], [7, 12], [3, 6]]","[[10, 17]]",0,,False,1,https://moonboard.com/Problems/View/345690/los-bidoises
345687,"[[6, 1], [4, 5]]","[[1, 7], [4, 12], [6, 16]]","[[8, 17]]",3,,False,1,https://moonboard.com/Problems/View/345687/deliciando
345684,"[[5, 4]]","[[2, 12], [3, 15], [6, 8], [2, 4], [2, 9], [5, 10], [10, 6]]","[[3, 17]]",1,,False,6,https://moonboard.com/Problems/View/345684/eisheiligen
345681,"[[10, 4]]","[[9, 7], [5, 8], [6, 12], [3, 14], [2, 12]]","[[1, 17]]",0,,False,15,https://moonboard.com/Problems/View/345681/moncherrete
345679,"[[5, 4]]","[[5, 8], [1, 9], [3, 11], [4, 14]]","[[8, 17]]",1,,False,6,https://moonboard.com/Problems/View/345679/digimon
345677,"[[6, 3], [6, 1]]","[[3, 6], [6, 10], [4, 14]]","[[3, 17]]",1,,False,1,https://moonboard.com/Problems/View/345677/lithium
345672,"[[5, 4]]","[[6, 7], [6, 12], [6, 3], [5, 8]]","[[4, 17], [3, 17]]",1,,False,5,https://moonboard.com/Problems/View/345672/jumpy-jumpy
345671,"[[8, 3]]","[[10, 4], [9, 7], [6, 7], [8, 9], [8, 6], [9, 1], [6, 12], [7, 10], [7, 13], [6, 14], [7, 15]]","[[6, 17]]",0,,False,2,https://moonboard.com/Problems/View/345671/easy-lemonade
345669,"[[6, 3]]","[[6, 7], [4, 8], [5, 10], [2, 12], [4, 13], [4, 14], [6, 15]]","[[6, 17]]",1,,False,6,https://moonboard.com/Problems/View/345669/the-catnip-2
345668,"[[10, 4]]","[[6, 5], [7, 9], [4, 12], [4, 14]]","[[2, 17]]",1,,False,10,https://moonboard.com/Problems/View/345668/v6-in-1997
345667,"[[0, 4]]","[[4, 7], [4, 10], [8, 10], [6, 13], [10, 7], [7, 15]]","[[6, 17]]",1,,False,3,https://moonboard.com/Problems/View/345667/kangaroo-placenta
345666,"[[3, 2], [3, 5]]","[[1, 7], [3, 9], [5, 12], [4, 13], [6, 16], [2, 10]]","[[4, 17]]",1,,False,3,https://moonboard.com/Problems/View/345666/cats-of-the-caribbean
345665,"[[6, 1], [4, 5]]","[[7, 9], [2, 12], [3, 14]]","[[3, 17]]",1,,False,5,https://moonboard.com/Problems/View/345665/cap-n-crunch
345664,"[[8, 4], [8, 3]]","[[6, 1], [7, 8], [10, 7], [8, 11], [5, 12], [7, 13], [4, 15], [6, 16]]","[[7, 17]]",1,,False,3,https://moonboard.com/Problems/View/345664/when-cats-take-over
345663,"[[10, 4], [7, 4]]","[[7, 9], [4, 9], [5, 13], [8, 13]]","[[6, 17]]",0,,False,9,https://moonboard.com/Problems/View/345663/crossy-road-name-taken
345662,"[[5, 4], [7, 4]]","[[6, 1], [8, 7], [7, 9], [7, 10], [6, 13], [4, 14], [6, 16]]","[[4, 17]]",1,,False,5,https://moonboard.com/Problems/View/345662/no-more-catnip
345661,"[[5, 4], [7, 4]]","[[7, 9], [7, 10], [6, 13], [4, 14], [6, 16], [6, 1], [8, 7]]","[[6, 17]]",0,,False,5,https://moonboard.com/Problems/View/345661/no-more-catnip
345660,"[[3, 5], [1, 3]]","[[3, 2], [4, 10], [6, 13], [2, 6], [5, 9], [6, 14], [8, 15]]","[[6, 17]]",0,,False,2,https://moonboard.com/Problems/View/345660/prince-meow
345659,"[[6, 1], [8, 3]]","[[6, 7], [7, 9], [7, 12], [8, 14], [7, 15]]","[[8, 17]]",0,,False,1,https://moonboard.com/Problems/View/345659/the-catnip
345654,"[[5, 4], [9, 4]]","[[7, 7], [4, 6], [6, 1], [7, 9], [6, 9], [6, 12], [8, 13], [5, 13]]","[[8, 17]]",0,,False,4,https://moonboard.com/Problems/View/345654/orrion
345647,"[[5, 4]]","[[7, 9], [6, 12], [10, 13], [6, 11], [7, 15], [8, 7], [10, 5], [8, 4]]","[[10, 17]]",1,,False,1,https://moonboard.com/Problems/View/345647/i-wish-i-didn-t-miss-you
345643,"[[0, 4], [2, 4]]","[[2, 6], [6, 8], [6, 1], [6, 7], [8, 9], [6, 12], [7, 13], [4, 14], [6, 16]]","[[8, 17]]",0,,False,9,https://moonboard.com/Problems/View/345643/length
345642,"[[8, 4], [10, 4]]","[[9, 7], [7, 9], [8, 11], [4, 12], [5, 14], [3, 16]]","[[6, 17]]",0,,False,23,https://moonboard.com/Problems/View/345642/learning
345639,"[[8, 4]]","[[8, 10], [6, 14]]","[[8, 17]]",3,,False,5,https://moonboard.com/Problems/View/345639/cn-tower
345636,"[[7, 4], [9, 1]]","[[7, 7], [6, 8], [8, 10], [3, 11], [4, 13], [3, 5], [1, 15]]","[[2, 17]]",1,,False,6,https://moonboard.com/Problems/View/345636/focii
345635,"[[0, 4], [2, 4]]","[[1, 7], [1, 9], [4, 12], [2, 14], [5, 8]]","[[6, 17]]",0,,False,14,https://moonboard.com/Problems/View/345635/not-strictly-necessary
345633,"[[9, 4]]","[[4, 5], [5, 8], [4, 11], [1, 12]]","[[4, 17]]",3,,False,1,https://moonboard.com/Problems/View/345633/yang-b-yang-sssa
345621,"[[1, 2]]","[[3, 7], [0, 9], [2, 13], [3, 15]]","[[7, 17]]",5,,False,1,https://moonboard.com/Problems/View/345621/dreaming-in-color-var
345615,"[[6, 3]]","[[6, 7], [4, 9], [4, 11], [2, 12], [3, 14]]","[[1, 17]]",0,,False,11,https://moonboard.com/Problems/View/345615/pop-pop-pop
345614,"[[6, 1], [8, 3]]","[[6, 7], [6, 8], [4, 10], [4, 12], [3, 14], [5, 5]]","[[4, 17]]",1,,False,6,https://moonboard.com/Problems/View/345614/man-of-chock
345613,"[[5, 4]]","[[2, 6], [5, 10], [0, 13], [2, 15]]","[[4, 17]]",1,,False,3,https://moonboard.com/Problems/View/345613/ain-t-yo-daddy
345610,"[[5, 4]]","[[4, 7], [6, 9], [6, 11], [3, 7], [10, 13], [8, 15], [10, 9], [6, 1]]","[[10, 17]]",1,,False,2,https://moonboard.com/Problems/View/345610/pocket-popper
345609,"[[5, 4], [7, 4]]","[[6, 8], [2, 8], [4, 10], [4, 11], [1, 12], [3, 16]]","[[0, 17]]",0,,False,2,https://moonboard.com/Problems/View/345609/sausage
345604,"[[5, 4]]","[[4, 7], [0, 8], [4, 11], [1, 15]]","[[4, 17]]",1,,False,4,https://moonboard.com/Problems/View/345604/yes-yes-yes
345602,"[[6, 3]]","[[4, 7], [5, 10], [4, 13], [6, 16]]","[[1, 17]]",1,,False,2,https://moonboard.com/Problems/View/345602/uncle-kim-s-toeclip-blast
345600,"[[9, 4], [10, 4]]","[[9, 7], [7, 9], [7, 11], [5, 12], [6, 13], [4, 15]]","[[4, 17]]",1,,False,5,https://moonboard.com/Problems/View/345600/the-side-crimp
345595,"[[8, 3]]","[[5, 6], [9, 9], [6, 13], [8, 13]]","[[6, 17]]",1,,False,1,https://moonboard.com/Problems/View/345595/bloody-trees
345594,"[[3, 5], [0, 4]]","[[2, 9], [5, 10], [4, 14]]","[[6, 17]]",2,,False,11,https://moonboard.com/Problems/View/345594/bloody-bandaid
345593,"[[7, 4], [10, 4]]","[[8, 8], [6, 8], [8, 15], [5, 12]]","[[3, 17]]",2,,False,1,https://moonboard.com/Problems/View/345593/sleep-off-your-concussion
345583,"[[9, 4], [6, 5]]","[[8, 8], [6, 9], [7, 10], [4, 12], [5, 15]]","[[4, 17]]",0,,False,1,https://moonboard.com/Problems/View/345583/y-not
345581,"[[8, 3], [8, 5]]","[[7, 8], [9, 8], [9, 12], [10, 15]]","[[7, 17]]",0,,False,1,https://moonboard.com/Problems/View/345581/paradise-2
345578,"[[5, 4]]","[[3, 10], [8, 10], [5, 14], [5, 8], [0, 9]]","[[2, 17]]",3,,False,1,https://moonboard.com/Problems/View/345578/hilux
345574,"[[6, 3]]","[[2, 6], [4, 10], [2, 12], [8, 13], [6, 16]]","[[10, 17]]",1,,False,1,https://moonboard.com/Problems/View/345574/swallow-your-pride
345571,"[[5, 4]]","[[7, 9], [5, 13], [5, 8]]","[[10, 17]]",0,,False,2,https://moonboard.com/Problems/View/345571/betas-boulder-5
345570,"[[5, 4]]","[[2, 12], [5, 8], [6, 16], [8, 3], [7, 9]]","[[3, 17]]",1,,False,1,https://moonboard.com/Problems/View/345570/betas-boulder-4
345569,"[[6, 3], [4, 5]]","[[7, 9], [4, 12], [6, 13], [7, 8]]","[[3, 17]]",0,,False,3,https://moonboard.com/Problems/View/345569/betas-boulder-3
345568,"[[5, 4], [2, 4]]","[[0, 13], [3, 11], [1, 9], [4, 7]]","[[3, 17]]",0,,False,11,https://moonboard.com/Problems/View/345568/betas-boulder-2
345566,"[[9, 4]]","[[9, 7], [7, 9], [8, 11], [5, 13]]","[[10, 17]]",0,,False,2,https://moonboard.com/Problems/View/345566/betas-boulder-1
345553,"[[7, 4], [10, 4]]","[[9, 9], [5, 11], [6, 13], [5, 14]]","[[6, 17]]",1,,False,1,https://moonboard.com/Problems/View/345553/rub%C3%A9n-contra-la-gravedad
345545,"[[1, 2], [3, 4]]","[[4, 7], [7, 9], [2, 12], [3, 14], [3, 16]]","[[8, 17]]",0,,False,1,https://moonboard.com/Problems/View/345545/nx1
345538,"[[5, 4]]","[[6, 8], [5, 11], [6, 14]]","[[6, 17]]",2,,False,1,https://moonboard.com/Problems/View/345538/shimauma
345537,"[[5, 4]]","[[4, 6], [5, 9], [5, 13]]","[[6, 17]]",2,,False,8,https://moonboard.com/Problems/View/345537/white-choco
345534,"[[5, 4]]","[[2, 6], [3, 9], [0, 9], [0, 12], [3, 12], [0, 15]]","[[2, 17]]",1,,False,3,https://moonboard.com/Problems/View/345534/wood-1-0
345532,"[[5, 4]]","[[7, 9], [4, 9], [8, 13], [5, 13], [7, 6]]","[[8, 17]]",0,,False,21,https://moonboard.com/Problems/View/345532/poguloid
345530,"[[5, 4]]","[[6, 8], [6, 12], [10, 4], [5, 14]]","[[2, 17]]",1,,False,1,https://moonboard.com/Problems/View/345530/shut-the-chuff-up
345529,"[[8, 3]]","[[6, 5], [7, 7], [4, 9], [4, 12], [3, 14], [1, 5]]","[[6, 17]]",2,,False,6,https://moonboard.com/Problems/View/345529/take-me-to-the-top
345528,"[[10, 4]]","[[9, 9], [8, 7], [10, 10], [8, 14]]","[[10, 17]]",4,,False,1,https://moonboard.com/Problems/View/345528/v-too-high-for-me
345526,"[[5, 4]]","[[4, 7], [1, 10], [3, 13], [5, 9], [7, 15]]","[[6, 17]]",2,,False,7,https://moonboard.com/Problems/View/345526/spoonman
345520,"[[5, 4], [8, 4]]","[[7, 9], [4, 11], [4, 12], [4, 14], [5, 15]]","[[6, 17]]",0,,False,12,https://moonboard.com/Problems/View/345520/ja03
345519,"[[10, 4], [7, 4]]","[[9, 7], [8, 9], [6, 12], [4, 10], [3, 8], [4, 14]]","[[6, 17]]",0,,False,22,https://moonboard.com/Problems/View/345519/ja02
345518,"[[5, 4], [6, 5]]","[[6, 7], [6, 1], [6, 3], [6, 12], [7, 9], [4, 14], [6, 16], [4, 5], [7, 10], [6, 13], [9, 10]]","[[4, 17]]",0,,False,15,https://moonboard.com/Problems/View/345518/la-v2
345516,"[[5, 4]]","[[7, 9], [6, 12], [5, 8], [4, 14], [2, 8]]","[[6, 17]]",0,,False,10,https://moonboard.com/Problems/View/345516/ja01
345512,"[[3, 2], [2, 4]]","[[2, 7], [8, 7], [8, 11], [3, 12], [6, 15]]","[[3, 17]]",4,,False,1,https://moonboard.com/Problems/View/345512/fight-the-bump
345509,"[[7, 4], [3, 2]]","[[2, 6], [4, 8], [2, 10], [8, 11], [4, 14]]","[[7, 17]]",2,,False,2,https://moonboard.com/Problems/View/345509/beat-it-easy-var
345502,"[[10, 4]]","[[5, 6], [8, 10], [5, 14]]","[[6, 17]]",4,,False,2,https://moonboard.com/Problems/View/345502/quizmo-direct
345501,"[[5, 4]]","[[4, 6], [6, 7], [4, 10], [6, 12], [5, 13], [8, 15]]","[[4, 17], [10, 17]]",0,,False,14,https://moonboard.com/Problems/View/345501/jera-wood-1
345497,"[[7, 4], [3, 2]]","[[4, 8], [2, 10], [8, 11], [5, 14], [2, 6]]","[[2, 17], [7, 17]]",3,,False,1,https://moonboard.com/Problems/View/345497/beat-it
345485,"[[10, 4]]","[[7, 4], [7, 7], [4, 9], [6, 11], [2, 12]]","[[4, 17]]",2,,False,6,https://moonboard.com/Problems/View/345485/get-hard
345483,"[[8, 3], [5, 4]]","[[4, 7], [0, 8], [4, 11], [7, 15], [4, 12]]","[[6, 17]]",0,,False,10,https://moonboard.com/Problems/View/345483/optimus-beef
345482,"[[6, 5]]","[[7, 7], [2, 7], [4, 8], [1, 11], [4, 13], [6, 13], [9, 15], [8, 14], [10, 8], [2, 15], [3, 2]]","[[10, 17]]",0,,False,2,https://moonboard.com/Problems/View/345482/stylistic-integrity
345474,"[[5, 4]]","[[9, 7], [7, 11], [9, 11], [9, 15]]","[[6, 17]]",1,,False,5,https://moonboard.com/Problems/View/345474/mike-was-in-my-house
345473,"[[3, 4], [1, 5]]","[[3, 8], [0, 8], [2, 12], [4, 15]]","[[2, 17]]",1,,False,1,https://moonboard.com/Problems/View/345473/mike-and-the-kids
345470,"[[10, 4]]","[[6, 7], [8, 10], [7, 12], [10, 15]]","[[10, 17]]",1,,False,2,https://moonboard.com/Problems/View/345470/quick-and-warm
345469,"[[7, 4], [3, 4]]","[[3, 6], [6, 8], [3, 10], [6, 12], [4, 15]]","[[6, 17]]",1,,False,6,https://moonboard.com/Problems/View/345469/respect-yourself
345467,"[[5, 4]]","[[7, 9], [10, 7], [5, 13]]","[[6, 17]]",0,,False,5,https://moonboard.com/Problems/View/345467/partyforyourighttofight
345465,"[[5, 4]]","[[5, 8], [4, 9], [4, 12], [4, 14]]","[[4, 17]]",0,,False,9,https://moonboard.com/Problems/View/345465/welcome-refugees
345464,"[[2, 4], [4, 5]]","[[2, 6], [1, 9], [4, 12], [4, 15], [5, 7]]","[[4, 17]]",1,,False,6,https://moonboard.com/Problems/View/345464/leghista-onanista
345456,"[[2, 5], [3, 4]]","[[10, 5], [6, 7], [9, 9], [6, 13], [4, 15]]","[[1, 17]]",4,,False,5,https://moonboard.com/Problems/View/345456/dismantled-var
345451,"[[5, 4]]","[[8, 4], [9, 7], [10, 8], [7, 10], [8, 11], [6, 12], [10, 9], [8, 13], [6, 14], [8, 15]]","[[6, 17]]",0,,False,4,https://moonboard.com/Problems/View/345451/999
345450,"[[10, 4]]","[[9, 7], [7, 8], [7, 9], [6, 12], [4, 14], [2, 11], [1, 15], [6, 1]]","[[3, 17], [4, 17]]",0,,False,7,https://moonboard.com/Problems/View/345450/ry-guy-special
345443,"[[1, 2], [1, 5]]","[[2, 6], [1, 8], [4, 9], [3, 10], [6, 13], [3, 16]]","[[3, 17]]",0,,False,1,https://moonboard.com/Problems/View/345443/terrordome
345441,"[[5, 4]]","[[4, 7], [5, 10], [5, 13], [7, 15]]","[[3, 17]]",0,,False,12,https://moonboard.com/Problems/View/345441/it-s-been-done-before
345437,"[[6, 3]]","[[4, 11], [8, 6], [2, 6], [1, 11], [5, 14], [10, 13], [10, 8]]","[[10, 17]]",3,,False,4,https://moonboard.com/Problems/View/345437/opposition
345434,"[[4, 5], [9, 4]]","[[8, 9], [3, 10], [1, 14], [1, 5]]","[[0, 17]]",2,,False,2,https://moonboard.com/Problems/View/345434/dimeritium
345433,"[[4, 5], [9, 4]]","[[8, 9], [3, 10], [1, 5], [4, 13], [0, 13]]","[[0, 17]]",2,,False,4,https://moonboard.com/Problems/View/345433/elemental-insecurity
345428,"[[2, 4], [3, 5]]","[[3, 10], [5, 14], [6, 10], [8, 5], [5, 7], [9, 1]]","[[2, 17], [3, 17]]",2,,False,2,https://moonboard.com/Problems/View/345428/procastina-o-muere
345414,"[[6, 3], [4, 5]]","[[1, 9], [4, 7], [4, 12], [4, 14]]","[[6, 17]]",0,,False,14,https://moonboard.com/Problems/View/345414/occwarmup3
345413,"[[5, 4]]","[[6, 8], [4, 9], [7, 10], [5, 13], [8, 15]]","[[6, 17]]",0,,False,9,https://moonboard.com/Problems/View/345413/occwarmup2
345412,"[[7, 4], [10, 4]]","[[9, 7], [8, 9], [9, 12], [6, 14]]","[[8, 17]]",0,,False,4,https://moonboard.com/Problems/View/345412/occwarmup1
345409,"[[1, 3], [3, 2]]","[[2, 6], [2, 8], [5, 8], [6, 10], [3, 12], [5, 14], [3, 15]]","[[2, 17]]",1,,False,1,https://moonboard.com/Problems/View/345409/try-less
345406,"[[5, 4]]","[[6, 8], [1, 10], [6, 12], [4, 14]]","[[6, 17]]",0,,False,7,https://moonboard.com/Problems/View/345406/t-style
345394,"[[5, 4]]","[[5, 9], [5, 13]]","[[3, 17]]",2,,False,2,https://moonboard.com/Problems/View/345394/if-you-have-ghosts
345393,"[[6, 3]]","[[3, 5], [1, 10], [5, 12], [2, 14], [5, 8], [1, 8]]","[[6, 17]]",2,,False,3,https://moonboard.com/Problems/View/345393/chaz-s-little-chaz
345384,"[[0, 4]]","[[1, 7], [3, 9], [2, 11], [3, 12], [1, 15]]","[[3, 17]]",1,,False,2,https://moonboard.com/Problems/View/345384/morde-e-vai
345383,"[[5, 4]]","[[9, 7], [8, 9], [8, 10], [4, 12], [2, 8], [4, 14]]","[[1, 17]]",0,,False,6,https://moonboard.com/Problems/View/345383/rise-and-fly
345379,"[[5, 4]]","[[7, 9], [2, 12], [6, 12], [4, 15], [2, 9], [4, 7]]","[[6, 17]]",0,,False,18,https://moonboard.com/Problems/View/345379/warm-up-0
345378,"[[5, 4]]","[[7, 9], [2, 12], [3, 14], [2, 8]]","[[3, 17]]",0,,False,6,https://moonboard.com/Problems/View/345378/warm-up-3
345377,"[[5, 4]]","[[1, 9], [4, 7], [4, 12], [0, 13], [3, 16]]","[[1, 17]]",0,,False,9,https://moonboard.com/Problems/View/345377/warm-up-2
345376,"[[10, 4]]","[[10, 8], [8, 9], [8, 13], [4, 15]]","[[3, 17]]",0,,False,1,https://moonboard.com/Problems/View/345376/warm-up-1
345372,"[[5, 4]]","[[7, 9], [4, 12], [6, 16]]","[[3, 17]]",0,,False,3,https://moonboard.com/Problems/View/345372/king-of-kanzi
345369,"[[5, 4], [10, 4]]","[[7, 9], [2, 12], [6, 12]]","[[4, 17]]",1,,False,7,https://moonboard.com/Problems/View/345369/maybe-this-will-work
345362,"[[2, 4]]","[[4, 7], [2, 9], [6, 13]]","[[3, 17]]",2,,False,14,https://moonboard.com/Problems/View/345362/entheogen
345361,"[[9, 4], [7, 4]]","[[5, 6], [8, 7], [4, 9], [9, 11], [5, 14], [6, 15], [3, 8]]","[[3, 17]]",2,,False,1,https://moonboard.com/Problems/View/345361/zhili
345358,"[[5, 4]]","[[4, 7], [4, 9], [1, 10], [2, 12], [4, 12]]","[[3, 17]]",0,,False,23,https://moonboard.com/Problems/View/345358/george6b
345353,"[[9, 1], [4, 5]]","[[7, 7], [4, 9], [4, 11], [0, 13]]","[[3, 17]]",2,,False,6,https://moonboard.com/Problems/View/345353/snapbackeasy
345352,"[[9, 1], [4, 5]]","[[4, 9], [4, 11], [7, 7], [0, 12]]","[[3, 17]]",1,,False,3,https://moonboard.com/Problems/View/345352/snapback-easy
345344,"[[5, 4]]","[[4, 7], [1, 9], [4, 12], [4, 14], [7, 15]]","[[6, 17]]",0,,False,10,https://moonboard.com/Problems/View/345344/get-zee-saucehshshsh
345331,"[[0, 4], [2, 4]]","[[2, 6], [3, 9], [3, 10], [5, 12], [4, 14]]","[[6, 17]]",0,,False,1,https://moonboard.com/Problems/View/345331/shortyyy2
345330,"[[8, 4]]","[[9, 7], [7, 9], [8, 12], [5, 12], [5, 14]]","[[3, 17]]",0,,False,2,https://moonboard.com/Problems/View/345330/shortyyy
345329,"[[0, 4], [2, 4]]","[[1, 6], [3, 7], [1, 9], [4, 12], [2, 13], [3, 15]]","[[2, 17], [6, 17]]",2,,False,6,https://moonboard.com/Problems/View/345329/nyapas
345327,"[[5, 4], [6, 3]]","[[7, 10], [7, 9], [6, 7], [6, 1], [6, 12], [4, 14], [4, 11], [6, 16], [5, 8], [5, 5]]","[[4, 17], [6, 17]]",0,,False,10,https://moonboard.com/Problems/View/345327/isa
345322,"[[3, 2], [5, 4]]","[[9, 7], [7, 10], [6, 13], [7, 15], [3, 16]]","[[3, 17], [2, 17]]",1,,False,11,https://moonboard.com/Problems/View/345322/speedy-gonzalez
345321,"[[0, 4], [3, 2]]","[[1, 8], [1, 9], [3, 10], [5, 11], [8, 13]]","[[6, 17]]",3,,False,3,https://moonboard.com/Problems/View/345321/wx6
345309,"[[8, 4], [9, 4]]","[[7, 9], [2, 7], [4, 12], [4, 14]]","[[1, 17]]",0,,False,3,https://moonboard.com/Problems/View/345309/ebrio
345308,"[[5, 4]]","[[4, 7], [6, 8], [4, 9], [7, 10], [6, 12], [4, 12], [4, 14]]","[[4, 17]]",0,,False,20,https://moonboard.com/Problems/View/345308/matt88
345305,"[[6, 5], [9, 1]]","[[9, 9], [7, 12], [8, 15]]","[[4, 17]]",5,,False,3,https://moonboard.com/Problems/View/345305/not-top-notch
345304,"[[8, 4], [7, 4]]","[[4, 7], [5, 10], [2, 12], [6, 16]]","[[3, 17]]",0,,False,10,https://moonboard.com/Problems/View/345304/sia-s-bday-boulder
